index,pokedex_number,name,species,Is your Pokemon a Normal type?,Is your Pokemon a Fighting type?,Is your Pokemon a Flying type?,Is your Pokemon a Poison type?,Is your Pokemon a Ground type?,Is your Pokemon a Rock type?,Is your Pokemon a Bug type?,Is your Pokemon a Ghost type?,Is your Pokemon a Steel type?,Is your Pokemon a Fire type?,Is your Pokemon a Water type?,Is your Pokemon a Grass type?,Is your Pokemon a Electric type?,Is your Pokemon a Psychic type?,Is your Pokemon a Ice type?,Is your Pokemon a Dragon type?,Is your Pokemon a Dark type?,Is your Pokemon a Fairy type?,Is your Pokemon a dual-type?,Does your Pokemon's name begin with a vowel?,Does your Pokemon's name begin with an M?,Does your Pokemon's name begin with an S?,Does your Pokemon's name begin with a C?,Does your Pokemon's name begin with a G?,Does your Pokemon's name begin with a P?,Does your Pokemon's name begin with a D?,Does your Pokemon's name begin with a T?,Does your Pokemon's name begin with a B?,Is your Pokemon a mythical or legendary?,Is your Pokemon the first evolution stage?,Is your Pokemon the second evolution stage?,Is your Pokemon the third evolution stage?,Is your Pokemon a Mega evolution?,Is your Pokemon an Alolan form?,Is your Pokemon a Galarian form?,Is your pokemon an Ultra Beast?,"Is your Pokemon a warm colour? (Red, Orange, Yellow or Brown)","Is your Pokemona cool colour? (Green, Blue, Purple or Pink)","Is your pokemon a neutral colour? (Black, White or Grey)?",Is your Pokemon from the Kanto region (Gen 1)?,Is your Pokemon from the Johto region (Gen 2)?,Is your Pokemon from the Hoenn region (Gen 3)?,Is your Pokemon from the Sinnoh region (Gen 4)?,Is your Pokemon from the Unova region (Gen 5)?,Is your Pokemon from the Kalos region (Gen 6)?,Is your Pokemon from the Alola region (Gen 7)?,Is your Pokemon from the Galar region (Gen 8)?,Does your pokemon have wings?,Is your pokemon a quadruped (walks on 4 legs)?,Is your pokemon bipedal (walks on 2 legs)?,Does your pokemon have a tail?,Does your pokemon have no arms or legs?,Does your pokemon look like a bird?,Does your pokemon look like a fish?
1,1,Bulbasaur,Seed Pokemon,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,Ivysaur,Seed Pokemon,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,3,Mega Venusaur,Seed Pokemon,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,3,Venusaur,Seed Pokemon,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,4,Charmander,Lizard Pokemon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6,5,Charmeleon,Flame Pokemon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7,6,Charizard,Flame Pokemon,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
8,6,Mega Charizard X,Flame Pokemon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
9,6,Mega Charizard Y,Flame Pokemon,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
10,7,Squirtle,Tiny Turtle Pokemon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11,8,Wartortle,Turtle Pokemon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
